meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
Australian National Championships (50m),52.49,18/05/2022,Women's 100m Freestyle LCM Female,AUS,Australia,"O'CALLAGHAN, Mollie",F,02/04/2004,,,1,1,956,Adelaide,AUS
Australian National Championships (50m),52.60,18/05/2022,Women's 100m Freestyle LCM Female,AUS,Australia,"JACK, Shayna",F,06/11/1998,,,2,2,950,Adelaide,AUS
22nd Commonwealth Games 2022,52.63,02/08/2022,Women's 100m Freestyle LCM Female,AUS,Australia,"O'CALLAGHAN, Mollie",F,02/04/2004,,,3,3,948,Birmingham,GBR
19th FINA World Championships Budapest 2022,52.67,23/06/2022,Women's 100m Freestyle LCM Female,AUS,Australia,"O'CALLAGHAN, Mollie",F,02/04/2004,,,4,4,946,Budapest,HUN
19th FINA World Championships Budapest 2022,52.70,18/06/2022,Women's 100m Freestyle LCM Female,AUS,Australia,"O'CALLAGHAN, Mollie",F,02/04/2004,,,5,5,944,Budapest,HUN
19th FINA World Championships Budapest 2022,52.80,23/06/2022,Women's 100m Freestyle LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,6,6,939,Budapest,HUN
Australian National Championships (50m),52.83,18/05/2022,Women's 100m Freestyle LCM Female,AUS,Australia,"O'CALLAGHAN, Mollie",F,02/04/2004,,,7,7,937,Adelaide,AUS
19th FINA World Championships Budapest 2022,52.85,22/06/2022,Women's 100m Freestyle LCM Female,AUS,Australia,"O'CALLAGHAN, Mollie",F,02/04/2004,,,8,8,936,Budapest,HUN
22nd Commonwealth Games 2022,52.88,02/08/2022,Women's 100m Freestyle LCM Female,AUS,Australia,"JACK, Shayna",F,06/11/1998,,,9,9,935,Birmingham,GBR
19th FINA World Championships Budapest 2022,52.92,23/06/2022,Women's 100m Freestyle LCM Female,USA,United States of America,"HUSKE, Torri",F,07/12/2002,,,10,10,932,Budapest,HUN
22nd Commonwealth Games 2022,52.94,02/08/2022,Women's 100m Freestyle LCM Female,AUS,Australia,"MCKEON, Emma",F,24/05/1994,,,11,11,931,Birmingham,GBR
19th FINA World Championships Budapest 2022,52.96,18/06/2022,Women's 100m Freestyle LCM Female,USA,United States of America,"HUSKE, Torri",F,07/12/2002,,,12,12,930,Budapest,HUN
19th FINA World Championships Budapest 2022,52.98,23/06/2022,Women's 100m Freestyle LCM Female,CAN,Canada,"OLEKSIAK, Penny",F,13/06/2000,,,13,13,929,Budapest,HUN
19th FINA World Championships Budapest 2022,52.99,18/06/2022,Women's 100m Freestyle LCM Female,AUS,Australia,"WILSON, Madison",F,31/05/1994,,,14,14,929,Budapest,HUN
19th FINA World Championships Budapest 2022,53.02,22/06/2022,Women's 100m Freestyle LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,15,15,927,Budapest,HUN
19th FINA World Championships Budapest 2022,53.04,22/06/2022,Women's 100m Freestyle LCM Female,USA,United States of America,"HUSKE, Torri",F,07/12/2002,,,16,16,926,Budapest,HUN
Mare Nostrum - Meeting International de Canet-en-Roussillon 2022,53.05,29/05/2022,Women's 100m Freestyle LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,17,17,926,Canet-en-Roussillon,FRA
Australian National Championships (50m),53.09,18/05/2022,Women's 100m Freestyle LCM Female,AUS,Australia,"HARRIS, Meg",F,07/03/2002,,,18,18,924,Adelaide,AUS
2022 European Aquatics Championships (50m),53.12,13/08/2022,Women's 100m Freestyle LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,19,19,922,Rome,ITA
22nd Commonwealth Games 2022,53.12,01/08/2022,Women's 100m Freestyle LCM Female,AUS,Australia,"MCKEON, Emma",F,24/05/1994,,,19,20,922,Birmingham,GBR
NSW State Open Championships 2022,53.13,04/03/2022,Women's 100m Freestyle LCM Female,AUS,Australia,"JACK, Shayna",F,06/11/1998,,,21,21,921,Sydney,AUS
Malmsten Swim Open Stockholm 2022,53.15,12/04/2022,Women's 100m Freestyle LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,22,22,920,Stockholm,SWE
19th FINA World Championships Budapest 2022,53.18,22/06/2022,Women's 100m Freestyle LCM Female,CAN,Canada,"OLEKSIAK, Penny",F,13/06/2000,,,23,23,919,Budapest,HUN
Australian National Championships (50m),53.19,18/05/2022,Women's 100m Freestyle LCM Female,AUS,Australia,"WILSON, Madison",F,31/05/1994,,,24,24,918,Adelaide,AUS
22nd Commonwealth Games 2022,53.22,30/07/2022,Women's 100m Freestyle LCM Female,AUS,Australia,"WILSON, Madison",F,31/05/1994,,,25,25,917,Birmingham,GBR
2022 European Aquatics Championships (50m),53.24,12/08/2022,Women's 100m Freestyle LCM Female,NED,Netherlands,"STEENBERGEN, Marrit",F,11/01/2000,,,26,26,916,Rome,ITA
Australian National Championships (50m),53.27,18/05/2022,Women's 100m Freestyle LCM Female,AUS,Australia,"JACK, Shayna",F,06/11/1998,,,27,27,914,Adelaide,AUS
Australian National Championships (50m),53.27,18/05/2022,Women's 100m Freestyle LCM Female,AUS,Australia,"HARRIS, Meg",F,07/03/2002,,,27,28,914,Adelaide,AUS
22nd Commonwealth Games 2022,53.33,01/08/2022,Women's 100m Freestyle LCM Female,AUS,Australia,"O'CALLAGHAN, Mollie",F,02/04/2004,,,29,29,911,Birmingham,GBR
Phillips 66 International Team Trials 2022,53.35,26/04/2022,Women's 100m Freestyle LCM Female,USA,United States of America,"HUSKE, Torri",F,07/12/2002,,,30,30,910,Greensboro,USA
19th FINA World Championships Budapest 2022,53.36,22/06/2022,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"CHENG, Yujie",F,22/09/2005,,,31,31,910,Budapest,HUN
19th FINA World Championships Budapest 2022,53.41,18/06/2022,Women's 100m Freestyle LCM Female,NED,Netherlands,"STEENBERGEN, Marrit",F,11/01/2000,,,32,32,907,Budapest,HUN
22nd Commonwealth Games 2022,53.43,01/08/2022,Women's 100m Freestyle LCM Female,AUS,Australia,"JACK, Shayna",F,06/11/1998,,,33,33,906,Birmingham,GBR
19th FINA World Championships Budapest 2022,53.45,18/06/2022,Women's 100m Freestyle LCM Female,CAN,Canada,"SANCHEZ, Kayla",F,07/04/2001,,,34,34,905,Budapest,HUN
British National Championships (50m),53.45,08/04/2022,Women's 100m Freestyle LCM Female,GBR,Great Britain,"HOPKIN, Anna",F,24/04/1996,,,34,35,905,Sheffield,GBR
19th FINA World Championships Budapest 2022,53.49,22/06/2022,Women's 100m Freestyle LCM Female,AUS,Australia,"O'CALLAGHAN, Mollie",F,02/04/2004,,,36,36,903,Budapest,HUN
19th FINA World Championships Budapest 2022,53.51,18/06/2022,Women's 100m Freestyle LCM Female,CAN,Canada,"SANCHEZ, Kayla",F,07/04/2001,,,37,37,902,Budapest,HUN
Australian National Championships (50m),53.52,18/05/2022,Women's 100m Freestyle LCM Female,AUS,Australia,"WILSON, Madison",F,31/05/1994,,,38,38,901,Adelaide,AUS
Phillips 66 National Championships (50m) 2022,53.53,26/07/2022,Women's 100m Freestyle LCM Female,USA,United States of America,"HINDS, Natalie",F,07/12/1993,,,39,39,901,Irvine,USA
2022 European Aquatics Championships (50m),53.56,11/08/2022,Women's 100m Freestyle LCM Female,FRA,France,"BONNET, Charlotte",F,14/02/1995,,,40,40,899,Rome,ITA
22nd Commonwealth Games 2022,53.57,02/08/2022,Women's 100m Freestyle LCM Female,GBR,Great Britain,"HOPKIN, Anna",F,24/04/1996,,,41,41,899,Birmingham,GBR
19th FINA World Championships Budapest 2022,53.58,23/06/2022,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"CHENG, Yujie",F,22/09/2005,,,42,42,898,Budapest,HUN
Phillips 66 International Team Trials 2022,53.58,26/04/2022,Women's 100m Freestyle LCM Female,USA,United States of America,"CURZAN, Claire",F,30/06/2004,,,42,43,898,Greensboro,USA
19th FINA World Championships Budapest 2022,53.59,23/06/2022,Women's 100m Freestyle LCM Female,CAN,Canada,"SANCHEZ, Kayla",F,07/04/2001,,,44,44,898,Budapest,HUN
Phillips 66 International Team Trials 2022,53.59,26/04/2022,Women's 100m Freestyle LCM Female,USA,United States of America,"CONNOLLY, Erika",F,27/08/1998,,,44,45,898,Greensboro,USA
19th FINA World Championships Budapest 2022,53.60,23/06/2022,Women's 100m Freestyle LCM Female,FRA,France,"WATTEL, Marie",F,02/06/1997,,,46,46,897,Budapest,HUN
Rotterdam Qualification Meet 2022,53.61,03/12/2022,Women's 100m Freestyle LCM Female,NED,Netherlands,"STEENBERGEN, Marrit",F,11/01/2000,,,47,47,897,Rotterdam,NED
19th FINA World Championships Budapest 2022,53.61,22/06/2022,Women's 100m Freestyle LCM Female,CAN,Canada,"SANCHEZ, Kayla",F,07/04/2001,,,47,48,897,Budapest,HUN
2022 European Aquatics Championships (50m),53.62,12/08/2022,Women's 100m Freestyle LCM Female,FRA,France,"BONNET, Charlotte",F,14/02/1995,,,49,49,896,Rome,ITA
