meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
15th National Games of the Peopleâ€™s Republic of China Swimming 2025 (50m),52.89,15/11/2025,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,1,1,934,Shenzhen,CHN
2025 Swiss International Open Challenge (50m),52.90,21/12/2025,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,2,2,934,Oberkirch,SUI
2025 Japan Open (50m),53.04,29/11/2025,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,3,3,926,Tokyo,JPN
2025 Chinese National Championships (50m),53.27,22/05/2025,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"WU, Qingfeng",F,28/01/2003,,,4,4,914,Shenzhen,CHN
World Aquatics Championships - Singapore 2025,53.34,01/08/2025,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"CHENG, Yujie",F,22/09/2005,,,5,5,911,Singapore,SGP
World Aquatics Championships - Singapore 2025,53.34,31/07/2025,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"CHENG, Yujie",F,22/09/2005,,,5,6,911,Singapore,SGP
2025 Chinese National Championships (50m),53.35,22/05/2025,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"CHENG, Yujie",F,22/09/2005,,,7,7,910,Shenzhen,CHN
2025 Chinese National Championships (50m),53.36,21/05/2025,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"WU, Qingfeng",F,28/01/2003,,,8,8,910,Shenzhen,CHN
World Aquatics Championships - Singapore 2025,53.42,27/07/2025,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"CHENG, Yujie",F,22/09/2005,,,9,9,907,Singapore,SGP
15th National Games of the Peopleâ€™s Republic of China Swimming 2025 (50m),53.46,14/11/2025,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,10,10,904,Shenzhen,CHN
2025-2026 Hong Kong Age Group Championships (50m),53.48,01/11/2025,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,11,11,903,Hong Kong,HKG
15th National Games of the Peopleâ€™s Republic of China Swimming 2025 (50m),53.55,15/11/2025,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"YANG, Junxuan",F,26/01/2002,,,12,12,900,Shenzhen,CHN
Mare Nostrum Monaco,53.58,18/05/2025,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,13,13,898,Monaco,MON
World Aquatics Championships - Singapore 2025,53.60,27/07/2025,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"CHENG, Yujie",F,22/09/2005,,,14,14,897,Singapore,SGP
15th National Games of the Peopleâ€™s Republic of China Swimming 2025 (50m),53.65,15/11/2025,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"CHENG, Yujie",F,22/09/2005,,,15,15,895,Shenzhen,CHN
2025 Chinese National Championships (50m),53.75,21/05/2025,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"CHENG, Yujie",F,22/09/2005,,,16,16,890,Shenzhen,CHN
46th Int. Swim Meeting - Mare Nostrum Barcelona 2025 (50m),53.88,21/05/2025,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,17,17,883,Barcelona,ESP
World Aquatics Championships - Singapore 2025,53.90,31/07/2025,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"CHENG, Yujie",F,22/09/2005,,,18,18,882,Singapore,SGP
2025 China Spring National Championships (50m),53.91,18/03/2025,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"CHENG, Yujie",F,22/09/2005,,,19,19,882,Qingdao,CHN
2025 FISU World University Games,54.00,19/07/2025,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"AI, Yanhan",F,07/02/2002,,,20,20,878,Berlin,GER
2025 China National Championship (50m),54.02,05/09/2025,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"YANG, Junxuan",F,26/01/2002,,,21,21,877,Chengdu,CHN
2025 China National Championship (50m),54.03,10/09/2025,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"YANG, Junxuan",F,26/01/2002,,,22,22,876,Chengdu,CHN
2025 China Spring National Championships (50m),54.04,18/03/2025,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"YU, Yiting",F,05/09/2005,,,23,23,876,Qingdao,CHN
2025 China Spring National Championships (50m),54.08,18/03/2025,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"LIU, Yaxin",F,16/06/1999,,,24,24,874,Qingdao,CHN
2025 Japan Open (50m),54.11,29/11/2025,Women's 100m Freestyle LCM Female,JPN,Japan,"IKEMOTO, Nagisa",F,25/08/2002,,,25,25,872,Tokyo,JPN
2025 China Spring National Championships (50m),54.13,18/03/2025,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"CHENG, Yujie",F,22/09/2005,,,26,26,871,Qingdao,CHN
World Aquatics Championships - Singapore 2025,54.15,31/07/2025,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"WU, Qingfeng",F,28/01/2003,,,27,27,870,Singapore,SGP
2025 China Spring National Championships (50m),54.16,18/03/2025,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"WU, Qingfeng",F,28/01/2003,,,28,28,870,Qingdao,CHN
2025 China Spring National Championships (50m),54.19,18/03/2025,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"LIU, Shuhan",F,29/01/2006,,,29,29,868,Qingdao,CHN
2025 China National Championship (50m),54.20,10/09/2025,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"LIU, Yaxin",F,16/06/1999,,,30,30,868,Chengdu,CHN
15th National Games of the Peopleâ€™s Republic of China Swimming 2025 (50m),54.23,14/11/2025,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"WENWEN, Yang",F,13/10/2004,,,31,31,866,Shenzhen,CHN
15th National Games of the Peopleâ€™s Republic of China Swimming 2025 (50m),54.24,15/11/2025,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"LUO, Mingyu",F,09/02/2008,,,32,32,866,Shenzhen,CHN
15th National Games of the Peopleâ€™s Republic of China Swimming 2025 (50m),54.29,14/11/2025,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,33,33,864,Shenzhen,CHN
2025 Chinese National Championships (50m),54.31,22/05/2025,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"YU, Yiting",F,05/09/2005,,,34,34,863,Shenzhen,CHN
2025 Chinese National Championships (50m),54.31,21/05/2025,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"WU, Qingfeng",F,28/01/2003,,,34,35,863,Shenzhen,CHN
World Aquatics Championships - Singapore 2025,54.32,31/07/2025,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"WU, Qingfeng",F,28/01/2003,,,36,36,862,Singapore,SGP
2025 China National Championship (50m),54.35,09/09/2025,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"LIU, Yaxin",F,16/06/1999,,,37,37,861,Chengdu,CHN
2025 Chinese National Championships (50m),54.39,21/05/2025,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"YU, Yiting",F,05/09/2005,,,38,38,859,Shenzhen,CHN
2025 China National Championship (50m),54.45,09/09/2025,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"YANG, Junxuan",F,26/01/2002,,,39,39,856,Chengdu,CHN
