meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
World Aquatics Swimming World Cup 2023 - Berlin,52.02,08/10/2023,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,1,1,982,Berlin,GER
World Aquatics Championships - Fukuoka 2023,52.08,23/07/2023,Women's 100m Freestyle LCM Female,AUS,Australia,"O'CALLAGHAN, Mollie",F,02/04/2004,,,2,2,978,Fukuoka,JPN
World Aquatics Championships - Fukuoka 2023,52.16,28/07/2023,Women's 100m Freestyle LCM Female,AUS,Australia,"O'CALLAGHAN, Mollie",F,02/04/2004,,,3,3,974,Fukuoka,JPN
19th Asian Games 2023,52.17,26/09/2023,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,4,4,973,Hangzhou,CHN
World Aquatics Swimming World Cup 2023 - Budapest,52.24,22/10/2023,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,5,5,969,Budapest,HUN
World Aquatics Championships - Fukuoka 2023,52.24,23/07/2023,Women's 100m Freestyle LCM Female,SWE,Sweden,"SJOESTROEM, Sarah",F,17/08/1993,,,5,6,969,Fukuoka,JPN
World Aquatics Championships - Fukuoka 2023,52.28,23/07/2023,Women's 100m Freestyle LCM Female,AUS,Australia,"JACK, Shayna",F,06/11/1998,,,7,7,967,Fukuoka,JPN
2023 Australian Trials,52.48,17/06/2023,Women's 100m Freestyle LCM Female,AUS,Australia,"O'CALLAGHAN, Mollie",F,02/04/2004,,,8,8,956,Melbourne,AUS
World Aquatics Championships - Fukuoka 2023,52.49,28/07/2023,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,9,9,956,Fukuoka,JPN
Mare Nostrum BCN 2023,52.50,17/05/2023,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,10,10,955,Barcelona,ESP
2023 Australian Trials,52.52,17/06/2023,Women's 100m Freestyle LCM Female,AUS,Australia,"MCKEON, Emma",F,24/05/1994,,,11,11,954,Melbourne,AUS
World Aquatics Swimming World Cup 2023 - Athens,52.55,15/10/2023,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,12,12,952,Athens,GRE
2023 Phillips 66,52.57,27/06/2023,Women's 100m Freestyle LCM Female,USA,United States of America,"DOUGLASS, Kate",F,17/11/2001,,,13,13,951,Indianapolis,USA
Australian National Championships (50m),52.63,17/04/2023,Women's 100m Freestyle LCM Female,AUS,Australia,"O'CALLAGHAN, Mollie",F,02/04/2004,,,14,14,948,Gold Coast,AUS
