meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
62nd Kanagawa High School Swim Meet,54.94,21/06/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"HIRAI, Mizuki",F,07/03/2007,,,83,83,833,Yokohama,JPN
The National Sports Festival â€“ Swimming Competition,54.95,15/09/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"MATSUMOTO, Shiho",F,03/04/2002,,,84,84,833,Saga Prefecture,JPN
Mare Nostrum BCN 2024,54.95,29/05/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"IKEMOTO, Nagisa",F,25/08/2002,,,84,85,833,Barcelona,ESP
JPN Trial Olympic 2024,54.97,20/03/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"MATSUMOTO, Shiho",F,03/04/2002,,,86,86,832,Tokyo,JPN
JOC Junior Olympic Cup Swimming Competition Summer Session (50m),54.98,25/08/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"HIRAI, Mizuki",F,07/03/2007,,,87,87,831,Tokyo,JPN
2024 China National Swimming Championships,54.98,22/04/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"ZHU, Menghui",F,23/03/1999,,,87,88,831,Shenzhen,CHN
2024 China National Swimming Championships,54.99,22/04/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"WENWEN, Yang",F,13/10/2004,,,89,89,831,Shenzhen,CHN
2024 China National Swimming Championships,54.99,22/04/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"WENWEN, Yang",F,13/10/2004,,,89,90,831,Shenzhen,CHN
Japan Inter-College Swimming Competition,55.00,05/09/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"YAMAMOTO, Haduki",F,01/12/2002,,,91,91,831,Tokyo,JPN
Japan Inter-College Swimming Competition,55.00,05/09/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"IKEMOTO, Nagisa",F,25/08/2002,,,91,92,831,Tokyo,JPN
JPN Trial Olympic 2024,55.00,20/03/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"IKEMOTO, Nagisa",F,25/08/2002,,,91,93,831,Tokyo,JPN
HKG Invitational Trial II,55.01,15/06/2024,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","TAM, Hoi Lam",F,21/04/1998,,,94,94,830,Hong Kong,HKG
2024 China National Swimming Championships,55.01,22/04/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"YU, Yiting",F,05/09/2005,,,94,95,830,Shenzhen,CHN
2024 China National Swimming Championships,55.04,22/04/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"LIU, Ruixue",F,02/11/2006,,,96,96,829,Shenzhen,CHN
World Aquatics Championships - Doha 2024,55.04,11/02/2024,Women's 100m Freestyle LCM Female,PHI,Philippines,"SANCHEZ, Kayla",F,07/04/2001,,,96,97,829,Doha,QAT
Japan High-School Swimming Competition,55.06,20/08/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"HIRAI, Mizuki",F,07/03/2007,,,98,98,828,Shiga Prefecture,JPN
JPN Trial Olympic 2024,55.07,21/03/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"MATSUMOTO, Shiho",F,03/04/2002,,,99,99,827,Tokyo,JPN
World Aquatics Championships - Doha 2024,55.07,15/02/2024,Women's 100m Freestyle LCM Female,PHI,Philippines,"SANCHEZ, Kayla",F,07/04/2001,,,99,100,827,Doha,QAT
2024 China National Swimming Championships,55.08,22/04/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"AI, Yanhan",F,07/02/2002,,,101,101,827,Shenzhen,CHN
2024 China National Swimming Championships,55.10,22/04/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"LIU, Zixuan",F,13/11/2000,,,102,102,826,Shenzhen,CHN
2024 China National Swimming Championships,55.11,19/04/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"LIU, Ruixue",F,02/11/2006,,,103,103,826,Shenzhen,CHN
World Aquatics Championships - Doha 2024,55.12,14/02/2024,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,104,104,825,Doha,QAT
2024 China National Swimming Championships,55.15,22/04/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"KONG, Yaqi",F,24/01/2008,,,105,105,824,Shenzhen,CHN
The National Sports Festival â€“ Swimming Competition,55.16,14/09/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"HIRAI, Mizuki",F,07/03/2007,,,106,106,823,Saga Prefecture,JPN
Hong Kong Open Swimming Championships 2024,55.16,14/07/2024,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","LI, Sum Yiu",F,15/04/2009,,,106,107,823,Hongkong,HKG
HKG Invitational Trial II,55.18,15/06/2024,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","LI, Sum Yiu",F,15/04/2009,,,108,108,822,Hong Kong,HKG
Japan Open 2024 (50m),55.19,30/11/2024,Women's 100m Freestyle LCM Female,JPN,Japan,"IKEMOTO, Nagisa",F,25/08/2002,,,109,109,822,Tokyo,JPN
World Aquatics Championships - Doha 2024,55.19,15/02/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"AI, Yanhan",F,07/02/2002,,,109,110,822,Doha,QAT
2024 China National Swimming Championships,55.21,22/04/2024,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"LIU, Ruixue",F,02/11/2006,,,111,111,821,Shenzhen,CHN
