meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
19th Asian Games 2023,46.97,24/09/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,1,1,992,Hangzhou,CHN
19th Asian Games 2023,47.06,28/09/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,2,2,987,Hangzhou,CHN
Chinese Spring National Championships (50m),47.22,01/05/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,3,3,977,Hangzhou,CHN
World Aquatics Championships - Fukuoka 2023,47.43,27/07/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,4,4,964,Fukuoka,JPN
2023 CHN Championships,47.60,13/12/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,5,5,954,Jinan,CHN
World Aquatics Championships - Fukuoka 2023,47.61,26/07/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,6,6,953,Fukuoka,JPN
World Aquatics Championships - Fukuoka 2023,47.67,23/07/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,7,7,949,Fukuoka,JPN
2023 CHN Championships,47.79,13/12/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,8,8,942,Jinan,CHN
World Aquatics Championships - Fukuoka 2023,47.84,26/07/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,9,9,939,Fukuoka,JPN
2023 JPN Championships,47.85,06/04/2023,Men's 100m Freestyle LCM Male,JPN,Japan,"MATSUMOTO, Katsuhiro",M,28/02/1997,,,10,10,939,Tokyo,JPN
Chinese Spring National Championships,47.89,19/03/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"WANG, Haoyu",M,27/07/2005,,,11,11,936,Qingdao,CHN
19th Asian Games 2023,48.02,24/09/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"WANG, Haoyu",M,27/07/2005,,,12,12,929,Hangzhou,CHN
19th Asian Games 2023,48.04,24/09/2023,Men's 100m Freestyle LCM Male,KOR,Republic of Korea,"HWANG, Sunwoo",M,21/05/2003,,,13,13,928,Hangzhou,CHN
World Aquatics Championships - Fukuoka 2023,48.08,26/07/2023,Men's 100m Freestyle LCM Male,KOR,Republic of Korea,"HWANG, Sunwoo",M,21/05/2003,,,14,14,925,Fukuoka,JPN
19th Asian Games 2023,48.13,24/09/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"WANG, Haoyu",M,27/07/2005,,,15,15,922,Hangzhou,CHN
Chinese Spring National Championships (50m),48.15,01/05/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"WANG, Haoyu",M,27/07/2005,,,16,16,921,Hangzhou,CHN
Chinese Spring National Championships (50m),48.17,05/05/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"WANG, Haoyu",M,27/07/2005,,,17,17,920,Hangzhou,CHN
World Aquatics Championships - Fukuoka 2023,48.20,26/07/2023,Men's 100m Freestyle LCM Male,KOR,Republic of Korea,"HWANG, Sunwoo",M,21/05/2003,,,18,18,918,Fukuoka,JPN
Korean National Trials 2023,48.21,26/03/2023,Men's 100m Freestyle LCM Male,KOR,Republic of Korea,"HWANG, Sunwoo",M,21/05/2003,,,19,19,918,Gimcheon,KOR
2023 CHN Championships,48.26,13/12/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"JI, Xinjie",M,27/10/1997,,,20,20,915,Jinan,CHN
2023 CHN Championships,48.29,10/12/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"WANG, Haoyu",M,27/07/2005,,,21,21,913,Jinan,CHN
2023 CHN Championships,48.31,13/12/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"WANG, Haoyu",M,27/07/2005,,,22,22,912,Jinan,CHN
World Aquatics Championships - Fukuoka 2023,48.37,23/07/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"WANG, Haoyu",M,27/07/2005,,,23,23,909,Fukuoka,JPN
2023 CHN Championships,48.52,13/12/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"CHEN, Juner",M,17/02/2004,,,24,24,900,Jinan,CHN
Chinese Spring National Championships,48.53,23/03/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"CHEN, Juner",M,17/02/2004,,,25,25,900,Qingdao,CHN
19th Asian Games 2023,48.54,24/09/2023,Men's 100m Freestyle LCM Male,KOR,Republic of Korea,"HWANG, Sunwoo",M,21/05/2003,,,26,26,899,Hangzhou,CHN
World Aquatics Championships - Fukuoka 2023,48.54,23/07/2023,Men's 100m Freestyle LCM Male,JPN,Japan,"MATSUMOTO, Katsuhiro",M,28/02/1997,,,26,27,899,Fukuoka,JPN
2024 KOR Trials,48.57,24/11/2023,Men's 100m Freestyle LCM Male,KOR,Republic of Korea,"HWANG, Sunwoo",M,21/05/2003,,,28,28,898,Gimcheon,KOR
World Aquatics Championships - Fukuoka 2023,48.58,26/07/2023,Men's 100m Freestyle LCM Male,JPN,Japan,"MATSUMOTO, Katsuhiro",M,28/02/1997,,,29,29,897,Fukuoka,JPN
Chinese Spring National Championships,48.58,19/03/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"CHEN, Juner",M,17/02/2004,,,29,30,897,Qingdao,CHN
Mare Nostrum MON 2023,48.61,20/05/2023,Men's 100m Freestyle LCM Male,JPN,Japan,"MATSUMOTO, Katsuhiro",M,28/02/1997,,,31,31,895,Monaco,MON
Chinese Spring National Championships,48.62,19/03/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"CHEN, Juner",M,17/02/2004,,,32,32,895,Qingdao,CHN
World Aquatics Championships - Fukuoka 2023,48.64,26/07/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"WANG, Haoyu",M,27/07/2005,,,33,33,894,Fukuoka,JPN
19th Asian Games 2023,48.66,24/09/2023,Men's 100m Freestyle LCM Male,JPN,Japan,"MATSUMOTO, Katsuhiro",M,28/02/1997,,,34,34,893,Hangzhou,CHN
19th Asian Games 2023,48.66,24/09/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,34,35,893,Hangzhou,CHN
19th Asian Games 2023,48.68,24/09/2023,Men's 100m Freestyle LCM Male,KOR,Republic of Korea,"LEE, Hojoon",M,14/02/2001,,,36,36,891,Hangzhou,CHN
19th Asian Games 2023,48.72,24/09/2023,Men's 100m Freestyle LCM Male,JPN,Japan,"MATSUMOTO, Katsuhiro",M,28/02/1997,,,37,37,889,Hangzhou,CHN
19th Asian Games 2023,48.75,28/09/2023,Men's 100m Freestyle LCM Male,JPN,Japan,"NAKAMURA, Katsumi",M,21/02/1994,,,38,38,888,Hangzhou,CHN
2023 JPN Championships,48.75,06/04/2023,Men's 100m Freestyle LCM Male,JPN,Japan,"GOMI, Tomonobu",M,15/11/2002,,,38,39,888,Tokyo,JPN
32nd Southeast Asian Games 2023,48.80,06/05/2023,Men's 100m Freestyle LCM Male,SGP,Singapore,"TAN, Jonathan Eu Jin",M,11/03/2002,,,40,40,885,Tarlac,PHI
32nd SEA Games,48.80,06/05/2023,Men's 100m Freestyle LCM Male,SGP,Singapore,"TAN, Jonathan Eu Jin",M,11/03/2002,,,40,41,885,Phnom Penh,CAM
Chinese Spring National Championships (50m),48.81,05/05/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"WANG, Shun",M,11/02/1994,,,42,42,884,Hangzhou,CHN
Inter College Swimming Championships 2023,48.84,31/08/2023,Men's 100m Freestyle LCM Male,JPN,Japan,"TANAKA, Taikan",M,25/04/2001,,,43,43,883,Tokyo,JPN
2023 JPN Championships,48.84,06/04/2023,Men's 100m Freestyle LCM Male,JPN,Japan,"MATSUMOTO, Katsuhiro",M,28/02/1997,,,43,44,883,Tokyo,JPN
Chinese Spring National Championships (50m),48.86,05/05/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"JI, Xinjie",M,27/10/1997,,,45,45,882,Hangzhou,CHN
Chinese Spring National Championships,48.86,19/03/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"HONG, Jinquan",M,23/03/2003,,,45,46,882,Qingdao,CHN
2023 JPN Championships,48.89,06/04/2023,Men's 100m Freestyle LCM Male,JPN,Japan,"NAKAMURA, Katsumi",M,21/02/1994,,,47,47,880,Tokyo,JPN
19th Asian Games 2023,48.90,28/09/2023,Men's 100m Freestyle LCM Male,KOR,Republic of Korea,"JI, Yuchan",M,24/08/2002,,,48,48,879,Hangzhou,CHN
32nd SEA Games,48.90,10/05/2023,Men's 100m Freestyle LCM Male,SGP,Singapore,"TAN, Jonathan Eu Jin",M,11/03/2002,,,48,49,879,Phnom Penh,CAM
53rd  SGP Age Group 2023,48.90,14/03/2023,Men's 100m Freestyle LCM Male,SGP,Singapore,"TAN, Jonathan Eu Jin",M,11/03/2002,,,48,50,879,Singapore,SGP
Korean National Trials 2023,48.91,26/03/2023,Men's 100m Freestyle LCM Male,KOR,Republic of Korea,"LEE, Hojoon",M,14/02/2001,,,51,51,879,Gimcheon,KOR
2023 CHN Championships,48.93,10/12/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"JI, Xinjie",M,27/10/1997,,,52,52,878,Jinan,CHN
19th Asian Games 2023,48.94,24/09/2023,Men's 100m Freestyle LCM Male,SGP,Singapore,"TAN, Jonathan Eu Jin",M,11/03/2002,,,53,53,877,Hangzhou,CHN
Chinese Spring National Championships (50m),48.94,01/05/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"YANG, Jintong",M,18/12/1998,,,53,54,877,Hangzhou,CHN
Chinese Spring National Championships (50m),48.94,01/05/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"CHEN, Juner",M,17/02/2004,,,53,55,877,Hangzhou,CHN
Chinese Spring National Championships (50m),48.96,01/05/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"CHEN, Juner",M,17/02/2004,,,56,56,876,Hangzhou,CHN
Chinese Spring National Championships,48.97,19/03/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"WANG, Haoyu",M,27/07/2005,,,57,57,876,Qingdao,CHN
Korean National Trials 2023,48.98,26/03/2023,Men's 100m Freestyle LCM Male,KOR,Republic of Korea,"HWANG, Sunwoo",M,21/05/2003,,,58,58,875,Gimcheon,KOR
2023 CHN Championships,48.99,13/12/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"HONG, Jinquan",M,23/03/2003,,,59,59,875,Jinan,CHN
2024 KOR Trials,48.99,24/11/2023,Men's 100m Freestyle LCM Male,KOR,Republic of Korea,"HWANG, Sunwoo",M,21/05/2003,,,59,60,875,Gimcheon,KOR
32nd SEA Games,48.99,06/05/2023,Men's 100m Freestyle LCM Male,SGP,Singapore,"QUAH, Zheng Wen",M,29/09/1996,,,59,61,875,Phnom Penh,CAM
32nd Southeast Asian Games 2023,48.99,06/05/2023,Men's 100m Freestyle LCM Male,SGP,Singapore,"QUAH, Zheng Wen",M,29/09/1996,,,59,62,875,Tarlac,PHI
Japan Open 2023,49.00,30/11/2023,Men's 100m Freestyle LCM Male,JPN,Japan,"GOMI, Tomonobu",M,15/11/2002,,,63,63,874,Tokyo,JPN
Inter College Swimming Championships 2023,49.00,31/08/2023,Men's 100m Freestyle LCM Male,JPN,Japan,"TANAKA, Taikan",M,25/04/2001,,,63,64,874,Tokyo,JPN
2023 CHN Championships,49.04,13/12/2023,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"JI, Xinjie",M,27/10/1997,,,65,65,872,Jinan,CHN
Mare Nostrum BCN 2023,49.04,18/05/2023,Men's 100m Freestyle LCM Male,JPN,Japan,"MATSUMOTO, Katsuhiro",M,28/02/1997,,,65,66,872,Barcelona,ESP
