meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
15th National Games of the Peopleâ€™s Republic of China Swimming 2025 (50m),49.68,13/11/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"CHEN, Mingjie",M,03/07/2003,,,180,180,814,Shenzhen,CHN
2025 China National Championship (50m),49.68,05/09/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"SUN, Yang",M,01/12/1991,,,180,181,814,Chengdu,CHN
2025 China National Championship (50m),49.69,08/09/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"JI, Xinjie",M,27/10/1997,,,182,182,814,Chengdu,CHN
KB Financial Korea Swimming Championships,49.69,24/03/2025,Men's 100m Freestyle LCM Male,KOR,Republic of Korea,"YANG, Jaehoon",M,07/05/1998,,,182,183,814,Gimcheon,KOR
2025 Japan National Swimming Championships (50m),49.71,22/03/2025,Men's 100m Freestyle LCM Male,JPN,Japan,"MANO, Hidenari",M,06/07/2000,,,184,184,813,Tokyo,JPN
2025 Japan National Swimming Championships (50m),49.71,22/03/2025,Men's 100m Freestyle LCM Male,JPN,Japan,"TANAKA, Taikan",M,25/04/2001,,,184,185,813,Tokyo,JPN
2025 Japan Open (50m),49.72,29/11/2025,Men's 100m Freestyle LCM Male,JPN,Japan,"WATANABE, Yuta",M,19/08/2004,,,186,186,812,Tokyo,JPN
2025 China National Championship (50m),49.72,08/09/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"ZHAO, Jiayue",M,22/10/2006,,,186,187,812,Chengdu,CHN
2025 China Spring National Championships (50m),49.72,21/03/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"JI, Xinjie",M,27/10/1997,,,186,188,812,Qingdao,CHN
15th National Games of the Peopleâ€™s Republic of China Swimming 2025 (50m),49.73,13/11/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"JI, Xinjie",M,27/10/1997,,,189,189,812,Shenzhen,CHN
15th National Games of the Peopleâ€™s Republic of China Swimming 2025 (50m),49.73,13/11/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"SHENGKAI, Wu",M,01/02/2005,,,189,190,812,Shenzhen,CHN
2025 Inter College Championships (50m),49.73,05/09/2025,Men's 100m Freestyle LCM Male,JPN,Japan,"MOCHIDA, Rintaro",M,15/09/2004,,,189,191,812,Tokyo,JPN
2025 Chinese National Championships (50m),49.73,20/05/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"LUO, Junwu",M,13/05/2006,,,189,192,812,Shenzhen,CHN
2025 Chinese National Championships (50m),49.73,20/05/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"HONG, Jinquan",M,23/03/2003,,,189,193,812,Shenzhen,CHN
KB Financial Korea Swimming Championships,49.73,24/03/2025,Men's 100m Freestyle LCM Male,KOR,Republic of Korea,"LEE, Yooyeon",M,04/09/2000,,,189,194,812,Gimcheon,KOR
2025 Japan National Swimming Championships (50m),49.73,22/03/2025,Men's 100m Freestyle LCM Male,JPN,Japan,"KURODA, Kazusa",M,21/06/2007,,,189,195,812,Tokyo,JPN
2025 Inter College Championships (50m),49.74,04/09/2025,Men's 100m Freestyle LCM Male,JPN,Japan,"HASUNUMA, Ryosuke",M,29/01/2005,,,196,196,811,Tokyo,JPN
Giant Paris,49.74,09/05/2025,Men's 100m Freestyle LCM Male,QAT,Qatar,"SAYED, Ali",M,24/04/2006,,,196,197,811,Paris,FRA
2025 China Spring National Championships (50m),49.74,21/03/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"HU, Xiangyu",M,16/04/2007,,,196,198,811,Qingdao,CHN
79th Japan Games (50m),49.75,14/09/2025,Men's 100m Freestyle LCM Male,JPN,Japan,"MURAKAMI, Taichi",M,06/01/2004,,,199,199,811,Kusatsu,JPN
2025 China National Championship (50m),49.75,08/09/2025,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"XIE, Yichen",M,01/08/2010,,,199,200,811,Chengdu,CHN
