meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
World Aquatics Swimming World Cup 2023 - Berlin,52.02,08/10/2023,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,1,1,982,Berlin,GER
19th Asian Games 2023,52.17,26/09/2023,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,2,2,973,Hangzhou,CHN
World Aquatics Swimming World Cup 2023 - Budapest,52.24,22/10/2023,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,3,3,969,Budapest,HUN
World Aquatics Championships - Fukuoka 2023,52.49,28/07/2023,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,4,4,956,Fukuoka,JPN
Mare Nostrum BCN 2023,52.50,17/05/2023,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,5,5,955,Barcelona,ESP
World Aquatics Swimming World Cup 2023 - Athens,52.55,15/10/2023,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,6,6,952,Athens,GRE
Sette colli 2023,52.64,24/06/2023,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,7,7,947,Rome,ITA
Mare Nostrum Canet 2023,52.85,14/05/2023,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,8,8,936,Canet-en-Roussillon,FRA
Mare Nostrum MON 2023,52.88,21/05/2023,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,9,9,935,Monaco,MON
World Aquatics Championships - Fukuoka 2023,52.90,27/07/2023,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,10,10,934,Fukuoka,JPN
Toyota USA Open 2023,52.94,02/12/2023,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,11,11,931,Greensboro,USA
2023 CHN Championships,53.05,10/12/2023,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"YANG, Junxuan",F,26/01/2002,,,12,12,926,Jinan,CHN
Festival of Sports 2023,53.10,16/04/2023,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,13,13,923,Hong Kong,HKG
19th Asian Games 2023,53.11,26/09/2023,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"YANG, Junxuan",F,26/01/2002,,,14,14,922,Hangzhou,CHN
World Aquatics Championships - Fukuoka 2023,53.15,27/07/2023,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,15,15,920,Fukuoka,JPN
Chinese Spring National Championships (50m),53.26,03/05/2023,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"CHENG, Yujie",F,22/09/2005,,,16,16,915,Hangzhou,CHN
31st Universiade  2023,53.34,03/08/2023,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"ZHANG, Yufei",F,19/04/1998,,,17,17,911,Chengdu,CHN
World Aquatics Championships - Fukuoka 2023,53.39,23/07/2023,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"CHENG, Yujie",F,22/09/2005,,,18,18,908,Fukuoka,JPN
Mare Nostrum BCN 2023,53.53,17/05/2023,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,19,19,901,Barcelona,ESP
2023 CHN Championships,53.57,14/12/2023,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"CHENG, Yujie",F,22/09/2005,,,20,20,899,Jinan,CHN
World Aquatics Swimming World Cup 2023 - Berlin,53.61,08/10/2023,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,21,21,897,Berlin,GER
2023 CHN Championships,53.62,10/12/2023,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"CHENG, Yujie",F,22/09/2005,,,22,22,896,Jinan,CHN
2023 CHN Championships,53.64,14/12/2023,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"YANG, Junxuan",F,26/01/2002,,,23,23,895,Jinan,CHN
World Aquatics Championships - Fukuoka 2023,53.67,27/07/2023,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"YANG, Junxuan",F,26/01/2002,,,24,24,894,Fukuoka,JPN
Mare Nostrum Canet 2023,53.76,14/05/2023,Women's 100m Freestyle LCM Female,HKG,"Hong Kong, China","HAUGHEY, Siobhan",F,31/10/1997,,,25,25,889,Canet-en-Roussillon,FRA
Chinese Spring National Championships,53.85,21/03/2023,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"CHENG, Yujie",F,22/09/2005,,,26,26,885,Qingdao,CHN
19th Asian Games 2023,53.86,24/09/2023,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"YANG, Junxuan",F,26/01/2002,,,27,27,884,Hangzhou,CHN
Chinese Spring National Championships (50m),53.87,03/05/2023,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"YANG, Junxuan",F,26/01/2002,,,28,28,884,Hangzhou,CHN
19th Asian Games 2023,53.91,26/09/2023,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"CHENG, Yujie",F,22/09/2005,,,29,29,882,Hangzhou,CHN
World Aquatics Championships - Fukuoka 2023,53.92,27/07/2023,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"CHENG, Yujie",F,22/09/2005,,,30,30,882,Fukuoka,JPN
Chinese Spring National Championships (50m),53.95,03/05/2023,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"ZHANG, Yufei",F,19/04/1998,,,31,31,880,Hangzhou,CHN
Chinese Spring National Championships (50m),53.99,03/05/2023,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"YANG, Junxuan",F,26/01/2002,,,32,32,878,Hangzhou,CHN
2023 CHN Championships,54.01,14/12/2023,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"ZHANG, Yufei",F,19/04/1998,,,33,33,877,Jinan,CHN
Chinese Spring National Championships (50m),54.03,03/05/2023,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"WU, Qingfeng",F,28/01/2003,,,34,34,876,Hangzhou,CHN
World Aquatics Championships - Fukuoka 2023,54.09,28/07/2023,Women's 100m Freestyle LCM Female,CHN,People's Republic of China,"YANG, Junxuan",F,26/01/2002,,,35,35,873,Fukuoka,JPN
