meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
19th FINA World Championships Budapest 2022,47.65,21/06/2022,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,1,1,954,Budapest,HUN
19th FINA World Championships Budapest 2022,47.79,22/06/2022,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,2,2,945,Budapest,HUN
19th FINA World Championships Budapest 2022,48.07,18/06/2022,Men's 100m Freestyle LCM Male,KOR,Republic of Korea,"HWANG, Sunwoo",M,21/05/2003,,,3,3,929,Budapest,HUN
19th FINA World Championships Budapest 2022,48.08,21/06/2022,Men's 100m Freestyle LCM Male,KOR,Republic of Korea,"HWANG, Sunwoo",M,21/05/2003,,,4,4,928,Budapest,HUN
Division 1 Competition (Part 3) 2022-2023 (50m),48.15,26/06/2022,Men's 100m Freestyle LCM Male,HKG,"Hong Kong, China","HE, Shing Ip",M,25/10/2005,,,5,5,924,Hong Kong,HKG
19th FINA World Championships Budapest 2022,48.19,21/06/2022,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,6,6,922,Budapest,HUN
Korean National Trials 2022,48.42,25/03/2022,Men's 100m Freestyle LCM Male,KOR,Republic of Korea,"HWANG, Sunwoo",M,21/05/2003,,,7,7,909,Gimcheon,KOR
Japan Selection Trial for 19th FINA World Championships 2022,48.57,02/03/2022,Men's 100m Freestyle LCM Male,JPN,Japan,"MATSUMOTO, Katsuhiro",M,28/02/1997,,,8,8,900,Tokyo,JPN
19th FINA World Championships Budapest 2022,48.61,21/06/2022,Men's 100m Freestyle LCM Male,KOR,Republic of Korea,"HWANG, Sunwoo",M,21/05/2003,,,9,9,898,Budapest,HUN
Division 1 Competition (Part 3) 2022-2023 (50m),48.75,26/06/2022,Men's 100m Freestyle LCM Male,HKG,"Hong Kong, China","CHUI, Ka Yeung",M,23/01/2006,,,10,10,890,Hong Kong,HKG
Japan Open (50m) 2022,48.77,01/12/2022,Men's 100m Freestyle LCM Male,JPN,Japan,"MATSUMOTO, Katsuhiro",M,28/02/1997,,,11,11,889,Tokyo,JPN
19th FINA World Championships Budapest 2022,48.83,21/06/2022,Men's 100m Freestyle LCM Male,JPN,Japan,"MATSUMOTO, Katsuhiro",M,28/02/1997,,,12,12,886,Budapest,HUN
Japan Selection Trial for 19th FINA World Championships 2022,48.90,02/03/2022,Men's 100m Freestyle LCM Male,JPN,Japan,"NAKAMURA, Katsumi",M,21/02/1994,,,13,13,882,Tokyo,JPN
Mare Nostrum - Meeting International de Canet-en-Roussillon 2022,48.98,29/05/2022,Men's 100m Freestyle LCM Male,JPN,Japan,"MATSUMOTO, Katsuhiro",M,28/02/1997,,,14,14,878,Canet-en-Roussillon,FRA
Japan National Championships 2022 (50m),49.00,28/04/2022,Men's 100m Freestyle LCM Male,JPN,Japan,"NAKAMURA, Katsumi",M,21/02/1994,,,15,15,877,Yokohama,JPN
Japan National Championships 2022 (50m),49.02,28/04/2022,Men's 100m Freestyle LCM Male,JPN,Japan,"NAKAMURA, Katsumi",M,21/02/1994,,,16,16,876,Yokohama,JPN
Japan Selection Trial for 19th FINA World Championships 2022,49.19,02/03/2022,Men's 100m Freestyle LCM Male,JPN,Japan,"NAMBA, Akira",M,23/04/1996,,,17,17,867,Tokyo,JPN
Mare Nostrum - Meeting International de Canet-en-Roussillon 2022,49.22,29/05/2022,Men's 100m Freestyle LCM Male,JPN,Japan,"MATSUMOTO, Katsuhiro",M,28/02/1997,,,18,18,865,Canet-en-Roussillon,FRA
Japan Selection Trial for 19th FINA World Championships 2022,49.22,02/03/2022,Men's 100m Freestyle LCM Male,JPN,Japan,"MATSUMOTO, Katsuhiro",M,28/02/1997,,,18,19,865,Tokyo,JPN
19th FINA World Championships Budapest 2022,49.25,18/06/2022,Men's 100m Freestyle LCM Male,SGP,Singapore,"QUAH, Zheng Wen",M,29/09/1996,,,20,20,864,Budapest,HUN
52nd Singapore National Age Group,49.25,16/03/2022,Men's 100m Freestyle LCM Male,SGP,Singapore,"TAN, Jonathan Eu Jin",M,11/03/2002,,,20,21,864,Singapore,SGP
Japan Open (50m) 2022,49.26,01/12/2022,Men's 100m Freestyle LCM Male,JPN,Japan,"GOMI, Tomonobu",M,15/11/2002,,,22,22,863,Tokyo,JPN
Japan Open (50m) 2022,49.28,01/12/2022,Men's 100m Freestyle LCM Male,JPN,Japan,"MATSUMOTO, Katsuhiro",M,28/02/1997,,,23,23,862,Tokyo,JPN
Japan Open (50m) 2022,49.30,01/12/2022,Men's 100m Freestyle LCM Male,JPN,Japan,"NAKAMURA, Katsumi",M,21/02/1994,,,24,24,861,Tokyo,JPN
Japan Selection Trial for 19th FINA World Championships 2022,49.33,02/03/2022,Men's 100m Freestyle LCM Male,JPN,Japan,"MIZOHATA, Juran",M,20/04/1998,,,25,25,859,Tokyo,JPN
19th FINA World Championships Budapest 2022,49.35,21/06/2022,Men's 100m Freestyle LCM Male,UZB,Uzbekistan,"TARASENKO, Aleksey",M,13/05/1999,,,26,26,858,Budapest,HUN
Japan Open (50m) 2022,49.36,01/12/2022,Men's 100m Freestyle LCM Male,JPN,Japan,"GOMI, Tomonobu",M,15/11/2002,,,27,27,858,Tokyo,JPN
