meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
2022 European Aquatics Championships (50m),46.86,13/08/2022,Men's 100m Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,1,1,1003,Rome,ITA
2022 European Aquatics Championships (50m),46.98,12/08/2022,Men's 100m Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,2,2,995,Rome,ITA
8th FINA World Junior Swimming Championships 2022,47.07,30/08/2022,Men's 100m Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,3,3,989,Lima,PER
8th FINA World Junior Swimming Championships 2022,47.13,04/09/2022,Men's 100m Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,4,4,986,Lima,PER
19th FINA World Championships Budapest 2022,47.13,21/06/2022,Men's 100m Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,4,5,986,Budapest,HUN
2022 European Aquatics Championships (50m),47.20,12/08/2022,Men's 100m Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,6,6,981,Rome,ITA
22nd Commonwealth Games 2022,47.36,31/07/2022,Men's 100m Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,25/06/1998,,,7,7,971,Birmingham,GBR
8th FINA World Junior Swimming Championships 2022,47.37,30/08/2022,Men's 100m Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,8,8,971,Lima,PER
2022 European Aquatics Championships (50m),47.47,13/08/2022,Men's 100m Freestyle LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,9,9,965,Rome,ITA
22nd Commonwealth Games 2022,47.51,01/08/2022,Men's 100m Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,25/06/1998,,,10,10,962,Birmingham,GBR
European Junior Swimming Championships 2022,47.54,05/07/2022,Men's 100m Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,11,11,960,Otopeni,ROU
19th FINA World Championships Budapest 2022,47.54,21/06/2022,Men's 100m Freestyle LCM Male,FRA,France,"GROUSSET, Maxime",M,24/04/1999,,,11,12,960,Budapest,HUN
19th FINA World Championships Budapest 2022,47.55,21/06/2022,Men's 100m Freestyle LCM Male,CAN,Canada,"LIENDO, Josh",M,20/08/2002,,,13,13,960,Budapest,HUN
19th FINA World Championships Budapest 2022,47.58,22/06/2022,Men's 100m Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,14,14,958,Budapest,HUN
2022 European Aquatics Championships (50m),47.60,12/08/2022,Men's 100m Freestyle LCM Male,ITA,Italy,"MIRESSI, Alessandro",M,02/10/1998,,,15,15,957,Rome,ITA
19th FINA World Championships Budapest 2022,47.60,21/06/2022,Men's 100m Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,15,16,957,Budapest,HUN
2022 European Aquatics Championships (50m),47.63,13/08/2022,Men's 100m Freestyle LCM Male,ITA,Italy,"MIRESSI, Alessandro",M,02/10/1998,,,17,17,955,Rome,ITA
19th FINA World Championships Budapest 2022,47.63,21/06/2022,Men's 100m Freestyle LCM Male,GBR,Great Britain,"BURRAS, Lewis Edward",M,12/02/2000,,,17,18,955,Budapest,HUN
19th FINA World Championships Budapest 2022,47.64,22/06/2022,Men's 100m Freestyle LCM Male,FRA,France,"GROUSSET, Maxime",M,24/04/1999,,,19,19,954,Budapest,HUN
19th FINA World Championships Budapest 2022,47.65,21/06/2022,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,20,20,954,Budapest,HUN
19th FINA World Championships Budapest 2022,47.67,18/06/2022,Men's 100m Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,21,21,952,Budapest,HUN
2022 European Aquatics Championships (50m),47.69,14/08/2022,Men's 100m Freestyle LCM Male,FRA,France,"GROUSSET, Maxime",M,24/04/1999,,,22,22,951,Rome,ITA
European Junior Swimming Championships 2022,47.69,10/07/2022,Men's 100m Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,22,23,951,Otopeni,ROU
19th FINA World Championships Budapest 2022,47.69,21/06/2022,Men's 100m Freestyle LCM Male,HUN,Hungary,"NEMETH, Nandor",M,19/11/1999,,,22,24,951,Budapest,HUN
19th FINA World Championships Budapest 2022,47.71,22/06/2022,Men's 100m Freestyle LCM Male,CAN,Canada,"LIENDO, Josh",M,20/08/2002,,,25,25,950,Budapest,HUN
2022 European Aquatics Championships (50m),47.76,14/08/2022,Men's 100m Freestyle LCM Male,ITA,Italy,"MIRESSI, Alessandro",M,02/10/1998,,,26,26,947,Rome,ITA
2022 European Aquatics Championships (50m),47.76,12/08/2022,Men's 100m Freestyle LCM Male,HUN,Hungary,"MILAK, Kristof",M,20/02/2000,,,26,27,947,Rome,ITA
European Junior Swimming Championships 2022,47.76,05/07/2022,Men's 100m Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,26,28,947,Otopeni,ROU
2022 European Aquatics Championships (50m),47.78,13/08/2022,Men's 100m Freestyle LCM Male,FRA,France,"GROUSSET, Maxime",M,24/04/1999,,,29,29,946,Rome,ITA
Russian National Championships (50m),47.78,29/04/2022,Men's 100m Freestyle LCM Male,RUS,Russian Federation,"GRINEV, Vladislav",M,21/07/1996,,,29,30,946,Kazan,RUS
19th FINA World Championships Budapest 2022,47.79,22/06/2022,Men's 100m Freestyle LCM Male,CHN,People's Republic of China,"PAN, Zhanle",M,04/08/2004,,,31,31,945,Budapest,HUN
Phillips 66 International Team Trials 2022,47.79,26/04/2022,Men's 100m Freestyle LCM Male,USA,United States of America,"DRESSEL, Caeleb",M,16/08/1996,,,31,32,945,Greensboro,USA
Campeonato Brasileiro Junior de Verao,47.82,09/12/2022,Men's 100m Freestyle LCM Male,BRA,Brazil,"SANTOS, Guilherme",M,01/03/2003,,,33,33,943,Rio de Janeiro,BRA
22nd Commonwealth Games 2022,47.83,31/07/2022,Men's 100m Freestyle LCM Male,GBR,Great Britain,"DEAN, Tom",M,02/05/2000,,,34,34,943,Birmingham,GBR
2022 European Aquatics Championships (50m),47.85,14/08/2022,Men's 100m Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,35,35,942,Rome,ITA
2022 European Aquatics Championships (50m),47.86,14/08/2022,Men's 100m Freestyle LCM Male,HUN,Hungary,"NEMETH, Nandor",M,19/11/1999,,,36,36,941,Rome,ITA
19th FINA World Championships Budapest 2022,47.87,18/06/2022,Men's 100m Freestyle LCM Male,CAN,Canada,"LIENDO, Josh",M,20/08/2002,,,37,37,941,Budapest,HUN
Italian National Championships (50m),47.88,11/04/2022,Men's 100m Freestyle LCM Male,ITA,Italy,"MIRESSI, Alessandro",M,02/10/1998,,,38,38,940,Milan,ITA
British National Championships (50m),47.88,07/04/2022,Men's 100m Freestyle LCM Male,GBR,Great Britain,"BURRAS, Lewis Edward",M,12/02/2000,,,38,39,940,Sheffield,GBR
22nd Commonwealth Games 2022,47.89,01/08/2022,Men's 100m Freestyle LCM Male,GBR,Great Britain,"DEAN, Tom",M,02/05/2000,,,40,40,939,Birmingham,GBR
