meet_name,swim_time,swim_date,full_desc,team_code,team_short_name,full_name_computed,gender,birth_date,event_id,standard_name,RANK,Rank_Order,fina_points,meet_city,country_code
World Aquatics Championships - Singapore 2025,46.51,31/07/2025,Men's 100m Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,1,1,992,Singapore,SGP
2025 European U23 Aquatics Championships (50m),46.71,28/06/2025,Men's 100m Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,2,2,980,Samorin,SVK
World Aquatics Championships - Singapore 2025,46.81,30/07/2025,Men's 100m Freestyle LCM Male,USA,United States of America,"ALEXY, Jack",M,19/01/2003,,,3,3,973,Singapore,SGP
World Aquatics Championships - Singapore 2025,46.84,30/07/2025,Men's 100m Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,4,4,972,Singapore,SGP
World Aquatics Championships - Singapore 2025,46.92,31/07/2025,Men's 100m Freestyle LCM Male,USA,United States of America,"ALEXY, Jack",M,19/01/2003,,,5,5,967,Singapore,SGP
2025 National Championships,46.99,03/06/2025,Men's 100m Freestyle LCM Male,USA,United States of America,"ALEXY, Jack",M,19/01/2003,,,6,6,962,Indianapolis,USA
2025 Maria Lenk Trophy - Brazilian Swimming Championships,47.10,23/04/2025,Men's 100m Freestyle LCM Male,BRA,Brazil,"SANTOS, Guilherme",M,01/03/2003,,,7,7,956,Rio de Janeiro,BRA
World Aquatics Championships - Singapore 2025,47.17,31/07/2025,Men's 100m Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,25/06/1998,,,8,8,951,Singapore,SGP
2025 National Championships,47.17,03/06/2025,Men's 100m Freestyle LCM Male,USA,United States of America,"ALEXY, Jack",M,19/01/2003,,,8,9,951,Indianapolis,USA
World Aquatics Championships - Singapore 2025,47.24,27/07/2025,Men's 100m Freestyle LCM Male,USA,United States of America,"ALEXY, Jack",M,19/01/2003,,,10,10,947,Singapore,SGP
Bergen Swim Festival 2025,47.27,04/04/2025,Men's 100m Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,25/06/1998,,,11,11,945,Bergen,NOR
World Aquatics Championships - Singapore 2025,47.29,30/07/2025,Men's 100m Freestyle LCM Male,NAB,Neutral Athletes B,"KORNEV, Egor",M,06/02/2004,,,12,12,944,Singapore,SGP
2025 Australian Swimming Trials,47.29,12/06/2025,Men's 100m Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,25/06/1998,,,12,13,944,Adelaide,AUS
Romanian National Swimming Championships,47.30,12/04/2025,Men's 100m Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,14,14,943,Otopeni,ROU
World Aquatics Championships - Singapore 2025,47.35,31/07/2025,Men's 100m Freestyle LCM Male,BRA,Brazil,"SANTOS, Guilherme",M,01/03/2003,,,15,15,941,Singapore,SGP
World Aquatics Championships - Singapore 2025,47.36,30/07/2025,Men's 100m Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,25/06/1998,,,16,16,940,Singapore,SGP
2025 European U23 Aquatics Championships (50m),47.38,28/06/2025,Men's 100m Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,17,17,939,Samorin,SVK
World Aquatics Championships - Singapore 2025,47.39,30/07/2025,Men's 100m Freestyle LCM Male,FRA,France,"GROUSSET, Maxime",M,24/04/1999,,,18,18,938,Singapore,SGP
2025 Toyota American Championships (50m),47.40,06/12/2025,Men's 100m Freestyle LCM Male,USA,United States of America,"ALEXY, Jack",M,19/01/2003,,,19,19,938,Austin,USA
World Aquatics Championships - Singapore 2025,47.41,30/07/2025,Men's 100m Freestyle LCM Male,ROU,Romania,"POPOVICI, David",M,15/09/2004,,,20,20,937,Singapore,SGP
Russian National Swimming Championships,47.42,17/04/2025,Men's 100m Freestyle LCM Male,NAB,Neutral Athletes B,"KORNEV, Egor",M,06/02/2004,,,21,21,936,Kazan,RUS
2025 National Championships,47.47,03/06/2025,Men's 100m Freestyle LCM Male,USA,United States of America,"SAMMON, Patrick",M,06/08/2003,,,22,22,933,Indianapolis,USA
World Aquatics Championships - Singapore 2025,47.48,30/07/2025,Men's 100m Freestyle LCM Male,AUS,Australia,"CHALMERS, Kyle",M,25/06/1998,,,23,23,933,Singapore,SGP
2025 National Championships,47.49,03/06/2025,Men's 100m Freestyle LCM Male,USA,United States of America,"GUILIANO, Chris",M,25/06/2003,,,24,24,932,Indianapolis,USA
French Elite Championships,47.50,16/06/2025,Men's 100m Freestyle LCM Male,FRA,France,"GROUSSET, Maxime",M,24/04/1999,,,25,25,932,Montpellier,FRA
World Aquatics Championships - Singapore 2025,47.51,31/07/2025,Men's 100m Freestyle LCM Male,NAB,Neutral Athletes B,"KORNEV, Egor",M,06/02/2004,,,26,26,931,Singapore,SGP
World Aquatics Championships - Singapore 2025,47.51,30/07/2025,Men's 100m Freestyle LCM Male,NAB,Neutral Athletes B,"KORNEV, Egor",M,06/02/2004,,,26,27,931,Singapore,SGP
2025 JPAG AsunciÃ³n (50m),47.54,12/08/2025,Men's 100m Freestyle LCM Male,BRA,Brazil,"SANTOS, Guilherme",M,01/03/2003,,,28,28,929,Luque,PAR
Russian National Swimming Championships,47.55,18/04/2025,Men's 100m Freestyle LCM Male,NAB,Neutral Athletes B,"KORNEV, Egor",M,06/02/2004,,,29,29,929,Kazan,RUS
World Aquatics Championships - Singapore 2025,47.58,31/07/2025,Men's 100m Freestyle LCM Male,USA,United States of America,"SAMMON, Patrick",M,06/08/2003,,,30,30,927,Singapore,SGP
2025 National Championships,47.58,03/06/2025,Men's 100m Freestyle LCM Male,USA,United States of America,"LASCO, Destin",M,07/08/2001,,,30,31,927,Indianapolis,USA
